"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
2821.00,6750.00,"SV","Saudi Arabian Airlines Corp",14645,"RUH","Riyadh, Saudi Arabia",12264,"IAD","Washington, DC",2021,7,
2822.00,936.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",11874,"GDL","Guadalajara, Mexico",11298,"DFW","Dallas/Fort Worth, TX",2021,1,
2823.00,2051.00,"UA","United Air Lines Inc.",11618,"EWR","Newark, NJ",12010,"GUA","Guatemala City, Guatemala",2021,3,
2824.00,6236.00,"RJ","Alia-(The) Royal Jordanian",13930,"ORD","Chicago, IL",10287,"AMM","Amman, Jordan",2021,4,
2825.00,1237.00,"WN","Southwest Airlines Co.",15016,"STL","St. Louis, MO",11032,"CUN","Cancun, Mexico",2021,3,
2825.00,2348.00,"CM","Compania Panamena (Copa)",14286,"PTY","Panama City, Panama",10721,"BOS","Boston, MA",2021,7,
2826.00,1719.00,"AA","American Airlines Inc.",12990,"LIR","Liberia, Costa Rica",11057,"CLT","Charlotte, NC",2021,5,
2827.00,1276.00,"5D","Aerolitoral",13303,"MIA","Miami, FL",13252,"MEX","Mexico City, Mexico",2021,2,
2827.00,2685.00,"AS","Alaska Airlines Inc.",14747,"SEA","Seattle, WA",11032,"CUN","Cancun, Mexico",2021,5,
2827.00,2413.00,"FI","Icelandair",12651,"KEF","Keflavik/Reykjavik, Iceland",10721,"BOS","Boston, MA",2021,6,
2827.00,877.00,"WN","Southwest Airlines Co.",12191,"HOU","Houston, TX",14312,"PVR","Puerto Vallarta, Mexico",2021,3,
2827.00,1117.00,"B6","JetBlue Airways",11697,"FLL","Fort Lauderdale, FL",11164,"CTG","Cartagena, Colombia",2021,6,
2828.00,696.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",13252,"MEX","Mexico City, Mexico",14683,"SAT","San Antonio, TX",2021,3,
2828.00,3635.00,"DL","Delta Air Lines Inc.",10920,"CDG","Paris, France",12478,"JFK","New York, NY",2021,3,
